peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,height,width,average,type
-40.25431652425877,-35.934850529492245,-37.16647986305638,193.75376617615325,-40.18805939536846,-40.21005986397743,13154.0,13154.0,2364.2502913752915,pos
-40.73393335686266,-152.47971954964973,-39.116847515186485,313.7786888673729,-40.80044405593351,-40.6477443897406,46640.0,57583.0,4815.725621600622,pos
-60.53112550469401,-0.7969912919862151,-58.46698877150011,240.7062054660437,-60.53435219644098,-60.37674770142252,20422.0,20423.0,6075.343628593629,pos
-52.62779788708022,-58.95093919117108,-51.06520632811891,267.7771519853166,-52.62322346161456,-52.50998511733176,43856.0,35311.0,6196.058954933956,pos
-21.77592990872626,-20.764692306080562,-21.256345037028783,107.3211024983141,-21.762227713307162,-21.761907533171307,43656.55331002331,44550.0,7576.810326340327,pos
-56.71039365697157,-31.304626833283297,-55.2259363454261,256.2554434753362,-56.62955847330693,-56.38492816634852,36466.0,44207.0,6378.6398601398605,pos
-73.62116722499962,-4.7066726768984894,-67.47884911505616,292.08010105549033,-73.50134752445226,-72.77206451408365,10075.0,10078.0,1385.1017871017873,pos
-51.59109803881161,-50.88173132609994,-49.57918929733214,254.6561778393711,-51.40717565226154,-51.19698352486585,27574.0,29423.0,4455.53108003108,pos
-56.66498109781281,-50.88924952454224,-53.91063699871378,274.7646265973136,-56.65412585809113,-56.64563311815345,21042.0,21042.0,3657.6375291375293,pos
-34.26563290373127,-28.606058060145024,-32.74806702084556,164.06122414941638,-34.19578880973013,-34.24567735496438,26755.0,24929.0,3744.3774281274277,pos
-63.31965672736769,-68.62376899361396,-61.55570400313274,320.0531333876777,-63.31701611918942,-63.23698754437371,42391.0,47291.0,6913.17501942502,pos
-55.88854630770134,5.982900410772865,-52.08195150806699,212.8479272276856,-55.73101356769087,-55.12931625499928,13002.0,13002.0,-1185.536324786325,pos
-24.44586863591219,-197.25985667980027,-22.961106505242608,293.47466816130736,-24.530599383964784,-24.277236956387693,54520.0,57849.0,68.09615384615365,pos
-52.89254319085784,-41.65036630394013,-50.006242968767474,249.5383680340855,-52.658322187882646,-52.330893382637484,18825.0,19666.0,3478.2426184926185,pos
-13.55430690780515,1.8897296885379984,-13.391599774907247,52.126354824477765,-13.56096966188712,-13.509208168416233,33440.0,33443.0,7331.478341103341,pos
-58.78743150472815,-37.958542988037976,-56.213403453411,267.98874851587874,-58.02775945694417,-57.00161111275769,21806.132867132867,21806.517482517484,4816.951146076146,pos
-84.0612462490394,149.06100513062182,-82.28110833168337,184.9693456841377,-83.97470126644448,-83.71329496759235,28558.0,23055.0,6386.507187257187,pos
-66.86839214623696,-3.0448969360261846,-65.24350136485725,269.01475185396316,-66.9575821827882,-66.90037922405448,34355.0,40283.0,8224.759518259518,pos
-32.955575143596214,-31.50238640556672,-31.72998928795453,161.99731992902306,-32.903338564934465,-32.90603052697113,28015.0,30715.0,4568.020431235432,pos
-66.03855777160821,29.697613910190817,-63.32118976346432,232.03681401179642,-66.21783228564848,-66.15684810126615,15307.0,15309.0,3921.67094017094,pos
-15.518316183392086,-219.83654558493492,-14.43792919795734,280.7791113902016,-15.586982829822194,-15.399337594095087,73976.0,73858.0,3003.1918220668217,pos
-91.28200101284527,83.0344110160585,-87.81148010274609,278.7487798851986,-91.43256333497001,-91.25714645069586,17393.0,17402.0,5338.471736596736,pos
-81.80141059958761,61.71819438423344,-80.1000868919747,262.98966656017325,-81.51651245649052,-81.28985099635376,32609.0,32607.0,7772.621309246309,pos
-41.791390879563046,-36.17368224838634,-40.93382110465589,202.3535615400384,-41.733902830415445,-41.72076447701762,50489.0,50490.0,8300.118298368297,pos
-56.18581652007174,-38.43601131286882,-54.77022569016897,261.7678195646673,-56.21536620899908,-56.160399832558745,45472.0,56358.0,8091.011169386169,pos
-47.55626314553934,193.61753035194764,-47.316099600226806,-3.5915489997967573,-47.58654638905794,-47.567072217326796,113571.0,68684.0,11360.41695804196,pos
-57.53785848262712,9.256482610060951,-53.33679101304321,215.72538381239957,-57.351644710560926,-56.75557221622929,11933.0,14146.27097902098,1584.7364024864025,pos
-53.7264505159529,-32.10793814172467,-53.23369938332359,246.58559244413587,-53.76908312252651,-53.748421280608184,54888.0,54888.0,9873.746406371407,pos
-48.146989850026465,-86.63706576814597,-44.382820876471946,275.35074301937135,-48.17671257731305,-48.007153947414054,15623.0,21045.0,3203.4573620823617,pos
-35.38249952223288,-34.54012336457275,-34.31555930448957,174.91806751007363,-35.339603794497556,-35.34028152428088,34889.0,34889.0,5186.002233877233,pos
-56.250689705433984,-63.99343697170179,-53.86633286000576,286.23355961474795,-56.17554373458175,-55.947556343024694,25454.0,30430.0,4450.25709013209,pos
