peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,type
-27.240359327222176,-26.04076807336095,-25.393150105624613,133.0373391026792,-27.17127433516536,-27.19178726130616,neg
-74.97756408529347,4.809351334328326,-73.226029471243,293.60665414051135,-75.10923265835048,-75.10317925995294,neg
-42.751814278878335,-42.65062648294323,-41.44582141080132,212.2056036474783,-42.69995736871639,-42.65738410613913,neg
-61.068190993465116,-31.27672747739514,-57.79394781047358,272.2405423655148,-61.10579585277516,-60.99588023140596,neg
-52.40188610558522,-79.310588087738,-50.02827649204084,286.43116018995505,-52.352827689989226,-52.337581814601826,neg
-60.466528628779464,42.00255446063922,-59.37653697014932,198.82573405052352,-60.558646349162544,-60.42657656307136,neg
-61.40589940565205,-52.33215757299516,-59.58360813549871,295.8955442624794,-61.341984892348385,-61.23189425598523,neg
-82.2610747596892,47.59398385692863,-80.74462159173763,279.2025754130792,-81.83188658027179,-81.95897633830945,neg
-69.9752243398453,-45.43315953662742,-67.83153085030578,323.1928407039491,-69.98348441831367,-69.96944155885718,neg
-81.64868187354703,9.195434019480945,-78.78745773002431,312.08138324386834,-81.29581320631378,-79.54486445346444,neg
-48.94271433867626,-46.218380417413734,-48.019563500531056,240.68291609300044,-48.835835019113084,-48.666422817266316,neg
-58.66031662166018,-52.24133807650907,-57.081816014588554,285.2843698165193,-58.69113773480207,-58.60976136895932,neg
-12.227703650499347,-12.028025904695104,-11.966578568309417,60.59540389054506,-12.148597923791343,-12.224497843249843,neg
-59.998945847899826,-10.528840949672745,-51.893764491922006,234.01754374007578,-57.456755697813435,-54.13923675276782,neg
-60.82808036927392,-52.50406702486806,-57.73081230965315,292.4326872722659,-60.81029646094006,-60.55943110753075,neg
-71.61429996900509,16.672972379847494,-70.02343554559458,265.93371941223523,-70.73217322048824,-70.23678305699485,neg
-15.07412401882366,-14.63956233186078,-14.666261159360817,74.47049894240494,-15.02535359572025,-15.065197836639426,neg
-66.72564449651901,-69.35019676663434,-64.88662785107904,334.293641899938,-66.70516965293781,-66.62600313276793,neg
-74.17085758417713,119.42080276920836,-68.82077294137422,172.38240106192035,-74.4528128394503,-74.35876046612692,neg
-67.29245950322787,-53.15461832299099,-66.00489459692109,320.9523977190087,-67.27677281009404,-67.22365248577476,neg
-42.75117867977567,-42.277025378870775,-41.640531433312674,212.00654095764577,-42.62318303118281,-42.714622434503916,neg
-70.81898269408518,-46.28297640927474,-68.22173595348092,326.68022602421394,-70.77182042932317,-70.58471053804986,neg
-19.739857074495795,-18.06642739004946,-18.925320189817622,96.08303503982897,-19.632416544441956,-19.719013841024136,neg
-55.53116063655554,-49.4653145933341,-52.26179892026174,264.3085179694905,-52.91760599776935,-54.13263782156976,neg
-58.79587403561435,-42.98491114295546,-56.86862139499611,273.92559513544245,-57.548032687466154,-57.72815587441023,neg
-60.57891802149688,42.60831553016334,-59.402826911985265,198.58333012747835,-60.67489247250902,-60.53500825165061,neg
-53.262193376459905,-49.53589761922621,-51.90745815467195,259.91328994380336,-52.85478531961231,-52.35295547383311,neg
-60.78141686741748,-48.10608846250313,-58.40533849775246,288.74302725001303,-60.77022920411643,-60.67995421822338,neg
-80.63981552194059,39.90871689745328,-79.00637968830736,280.181900619219,-80.13779195217825,-80.30663035424617,neg
-39.40524126503701,-37.943429999052476,-38.74208982862275,194.84540099983232,-39.378639208075604,-39.37600069904439,neg
-78.80170028753454,-13.734259196298346,-77.4640290626599,326.1235608344975,-78.6374831353051,-77.48608915269959,neg
-80.92307139406333,36.03561725012287,-74.45623245508686,281.74780026372815,-81.25523170924467,-81.14888195545603,neg
-54.43514361191772,-73.37135077953532,-52.29686262944952,285.07232289028633,-52.75030429022546,-52.218661579158095,neg
-33.62039641385528,-32.99102276057197,-32.35111845250606,166.10677328779224,-33.58226381559345,-33.56197184526551,neg
-68.41845719774659,-46.945321802894355,-66.95900504246478,319.072391291626,-68.40862912331315,-68.34097812520717,neg
-41.135835057820096,-39.79138475310797,-38.27553222898439,200.91165578114808,-40.66763234396931,-41.041271397266364,neg
-59.7981091783525,-47.69274353172527,-58.70629027670923,285.710543357281,-59.789773716864524,-59.72362665362932,neg
-66.00445391677164,-32.80677637089114,-64.19698350878694,294.739414806818,-66.02407179760637,-65.70712921276181,neg
-54.414293611674275,-50.502046967390434,-53.21360915567931,265.70455332831386,-54.01721558059804,-53.55738801297193,neg
-73.9610127769271,5.026639001411011,-71.30357507171009,286.6185427633819,-73.99572538405647,-72.38486853209925,neg
-61.59846478964568,-60.59386165386321,-60.20746883524722,305.2111623620439,-61.49549859291439,-61.31586849037353,neg
-44.584142235725565,-43.032320617681705,-42.641989257811645,218.9584537905354,-44.4525951423927,-44.24740653692384,neg
-69.35362031664303,-0.3399661417118076,-67.0118591155103,275.5498599510694,-69.45479929766799,-69.38961507953628,neg
-77.13278600351015,22.922009698894737,-75.32782728653575,284.0831335647615,-77.27926315937317,-77.26526681423724,neg
-58.84732411973276,-54.10804912372167,-56.1684966232396,286.39744704333646,-58.749211079541354,-58.524366097101236,neg
