peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,new_feature,new_feature2,type
-61.11140747903126,5.437864987040893,-57.79321287328814,235.05169279733516,-60.999111972451296,-60.585825459605104,-0.85835625589569,-126.01281499972124,1
-40.25431652425891,-35.93485052949234,-37.16647986305653,193.7537661761539,-40.18805939536861,-40.210059863977584,1.1416241946904633,-121.34812179632502,1
-40.73393335686266,-152.4797195496496,-39.11684751518651,313.77868886737303,-40.80044405593352,-40.647744389740616,1.1415995039779552,-215.6428073186866,1
-60.5311255046942,-0.7969912919862457,-58.46698877150034,240.70620546604457,-60.53435219644118,-60.37674770142272,-0.8579314265992424,-126.05415629366013,1
-52.627797887080206,-58.95093919117127,-51.06520632811906,267.7771519853171,-52.62322346161464,-52.50998511733187,1.1404719949856659,-131.04239341761746,1
-21.775929908726265,-20.764692306080573,-21.256345037028805,107.32110249831412,-21.76222771330718,-21.761907533171325,1.1415972509212953,24.99005349393526,1
-56.7103936569713,-31.304626833283127,-55.22593634542592,256.2554434753354,-56.62955847330671,-56.3849281663483,-0.8578920227710806,-127.03669332471297,1
-73.62116722499952,-4.706672676898493,-67.47884911505615,292.08010105549016,-73.5013475244522,-72.77206451408351,-0.8583689353475794,-135.96978091271083,1
-51.59109803881152,-50.881731326099896,-49.57918929733209,254.65617783937083,-51.40717565226146,-51.1969835248658,1.1415856704207648,-127.36168769231332,1
-56.66498109781299,-50.88924952454244,-53.91063699871392,274.76462659731425,-56.65412585809128,-56.64563311815359,-0.8540842950530618,-132.71221738145502,1
-34.26563290373132,-28.60605806014508,-32.7480670208456,164.06122414941646,-34.19578880973014,-34.24567735496438,1.1416172859647822,-101.22086490201389,1
-63.31965672736761,-68.62376899361395,-61.55570400313267,320.0531333876773,-63.31701611918936,-63.23698754437364,-0.8579934919551108,-187.70535888199885,1
-55.88854630770114,5.982900410772884,-52.08195150806682,212.8479272276851,-55.7310135676907,-55.129316254999125,-0.8449983124521284,-124.30855751412216,1
-24.44586863591208,-197.25985667979944,-22.961106505242537,293.4746681613066,-24.53059938396469,-24.277236956387604,1.1415705493267079,-200.65314589173434,1
-52.89254319085786,-41.6503663039402,-50.00624296876752,249.5383680340858,-52.65832218788271,-52.3308933826376,1.1407474070990358,-126.51581415287247,1
-13.554306907805156,1.889729688537992,-13.391599774907256,52.12635482447777,-13.56096966188712,-13.509208168416238,1.1415855580581913,348.36653571019735,1
-58.78743150472817,-37.95854298803808,-56.213403453411054,267.98874851587925,-58.027759456944274,-57.00161111275781,-0.8459926560579137,-129.60261920541978,1
-84.06124624903926,149.06100513062174,-82.2811083316833,184.96934568413772,-83.97470126644434,-83.71329496759232,-0.858288530211451,-71.81130750846941,1
-66.8683921462365,-3.044896936026108,-65.24350136485685,269.0147518539611,-66.95758218278773,-66.90037922405403,-0.8580200535456961,-128.37153901375063,1
-32.95557514359633,-31.502386405566835,-31.729989287954652,161.99731992902366,-32.90333856493458,-32.90603052697126,1.1416106118169083,-99.76227329496999,1
-66.03855777160841,29.69761391019092,-63.32118976346451,232.03681401179716,-66.21783228564875,-66.15684810126635,-0.8579092332154858,-125.62160477673392,1
-15.518316183392072,-219.83654558493487,-14.437929197957349,280.7791113902019,-15.586982829822176,-15.399337594095092,1.1415746147777044,-193.18058970192357,1
-91.2820010128452,83.0344110160584,-87.81148010274602,278.7487798851985,-91.43256333496996,-91.25714645069584,-0.8582430329532634,-126.7980444740632,1
-81.80141059958767,61.718194384233485,-80.10008689197481,262.9896665601736,-81.51651245649063,-81.28985099635389,-0.8583060552984743,-125.91424671382632,1
-41.79139087956319,-36.17368224838645,-40.93382110465605,202.35356154003907,-41.73390283041559,-41.720764477017774,1.141623410054142,-124.19368894529858,1
-56.185816520071775,-38.43601131286893,-54.770225690169006,261.76781956466766,-56.215366208999136,-56.16039983255882,-0.8518525867547472,-128.15439345220466,1
-47.556263145539226,193.6175303519472,-47.3160996002267,-3.591548999796813,-47.58654638905781,-47.56707221732669,1.1415343047468505,1470.6807614263867,1
-57.53785848262718,9.256482610060942,-53.33679101304325,215.72538381239968,-57.35164471056095,-56.75557221622927,-0.8569184711183224,-124.61672047234842,1
-53.72645051595282,-32.107938141724595,-53.23369938332347,246.58559244413527,-53.76908312252639,-53.74842128060807,1.1246486370413304,-126.30195833284296,1
-48.14698985002647,-86.63706576814587,-44.38282087647193,275.35074301937163,-48.17671257731308,-48.00715394741405,1.1415682631267625,-136.98163440766157,1
-35.38249952223285,-34.54012336457277,-34.31555930448954,174.9180675100735,-35.33960379449752,-35.34028152428083,1.1416149523580974,-112.17136042427519,1
-56.25068970543399,-63.993436971701726,-53.86633286000571,286.2335596147477,-56.17554373458179,-55.94755634302465,-0.8574483646705284,-141.43489240733362,1
-50.34704438096709,-46.52167269371815,-49.50731054717654,246.29899936892087,-50.11972687603743,-49.80324487102168,1.1413438316176558,-126.49289390853852,1
-103.75175896029404,229.0860947460133,-101.65708342021225,183.74498475320385,-103.89580179192538,-103.52643532678536,-0.8582844094003329,-12.753331597877015,1
-14.505622630800527,-8.429688619954087,-13.358914110006712,65.27956673375652,-14.499429132041133,-14.48591224095406,1.1415895517422048,248.22518247233342,1
-13.078012774458944,-8.300090523874895,-12.737217558397589,59.97733070678724,-12.983127027243189,-12.878882822812647,1.1415733282443725,278.8741959289979,1
-44.278329765594265,-38.95293097234138,-38.25571234717733,209.91497157415944,-44.23669801465452,-44.191300474391966,1.1416210793092296,-124.78174585134522,1
-55.42325472944168,-44.66029176766431,-53.0944050431746,263.1451331980278,-55.14635738938141,-54.820824268365925,-0.8475894452013664,-128.62877120765933,1
-55.45425349648917,-67.09426241039367,-53.98739301358066,287.45284697267687,-55.4869688416894,-55.42996921052404,-0.8373437710980073,-143.45557085732557,1
-56.88531359456512,18.54977309268136,-52.37833698737146,203.5229029753267,-56.732958478870735,-56.07606700720081,-0.8545713716224722,-120.93331489574132,1
-83.19245728814307,125.92565838259752,-81.39058572219362,204.62473572166635,-83.0917153080764,-82.87563578585095,-0.8582805806815544,-103.26809176538013,1
-54.52514073050218,-48.24276360409655,-52.69223286858213,264.39974735285216,-54.52849899132768,-54.411111158343566,0.9363952648779517,-129.18187938321753,1
-84.75619251610306,153.38418465635644,-83.3539591207799,184.06061323511864,-84.74866960556551,-84.5859766490268,-0.8582552031461411,-68.42908267784323,1
-57.11135442378352,84.83581365489994,-56.14292347412336,142.69788052183696,-57.20445416758994,-57.07496211123998,-0.8556241004692172,-21.129985404555548,0
-66.48794746662905,-43.73914330981091,-65.22426103608015,307.5220731766676,-66.36245597611556,-65.70826538803217,-0.8583611280189827,-160.55567053170176,0
-54.23597922274392,-55.99868920690173,-49.872551502532886,268.37314944631737,-54.146851812072896,-54.11907770206594,1.1119248623653466,-130.26551249567143,0
-17.74380227550033,-16.86031588149654,-16.962071667124537,86.85062665449436,-17.54134010437417,-17.743096725998736,1.141601425811801,114.89190549131612,0
-47.996970189538,-46.531711906966805,-46.63052017844719,236.7692862982759,-47.87700726013149,-47.73307676319233,1.1416193285165823,-126.14146263906025,0
-70.74033802064153,-20.71917479724162,-69.67050087988672,301.21712303060366,-70.6111169741311,-69.47599235870263,-0.8582708302647565,-148.81743952622273,0
-55.43128301162135,-49.53406405223296,-53.66957083796495,268.1028431927662,-55.00252593581013,-54.46539935513711,-0.6812243563209192,-130.49135489180497,0
-67.08728620520174,90.61348333031228,-65.77866340164073,176.43027745763143,-67.19219690503375,-66.98561427606741,-0.8581362441586484,-85.66825293272902,0
-47.81987011780768,-25.632750446233924,-44.91132002551879,214.03136251435328,-47.85944490486334,-47.80797701992963,1.141533388668333,-125.35662443014252,0
-74.76231847343016,42.11340578986741,-72.51456378319153,253.13875600711555,-73.80652671109203,-74.16875282926912,-0.8581148849455092,-125.88766538136952,0
-38.3281211992923,-42.54381863646191,-37.06872991923769,194.40232992382903,-38.15379789537262,-38.30786227346452,1.1416247796458827,-122.42841070349954,0
-73.03279649328236,48.32610400881994,-69.57087150380482,237.09313771059496,-71.12165662191858,-71.69391710040897,-0.8575457463669889,-125.31108589590434,0
-67.29620020316317,-72.39317106297864,-65.50452344827349,339.7217309516214,-67.29103534938045,-67.23680088782564,-0.8580958348448665,-236.79725304445583,0
-60.92598516092184,-41.27222594923474,-58.1148575578155,278.9870869729995,-59.93648167642992,-58.73753662859734,-0.8503723691097149,-134.18765765982212,0
-20.057771767040517,-21.085951081865264,-19.519126459297468,100.77018250131204,-20.05225646520369,-20.055076727905146,1.1415962459929887,49.56642509777631,0
-78.47039594276283,-11.617795589089964,-75.30137554946243,321.10181367203893,-78.31740545405873,-77.39484113666484,-0.8583703602370463,-170.0019018689274,0
-60.75342788802141,-44.50163280151597,-58.25408919802689,284.94183263905063,-60.76355111311205,-60.66913163837423,-0.8578004710271807,-137.60835593331555,0
-65.75188195474793,-46.65853783609111,-64.49044576811353,308.43544597253145,-65.7842387258467,-65.7503416877321,-0.8580057418775006,-162.1615432247433,0
-62.62517672397636,-72.41969347107023,-54.496255546519286,314.26450060718474,-62.54393642398272,-62.179438441636215,-0.8583231217612509,-169.8967330471468,0
