0,1,2,type
-94.09602298718725,182.2322763310558,-88.13625334386856,neg
-68.43347204832916,132.32717543026868,-63.89370338193956,neg
-74.24407027827054,175.99553879707267,-101.75146851880223,neg
-72.77961927051955,183.13316714678388,-110.35354787626433,neg
-84.27110284121738,175.41826877001336,-91.14716592879593,neg
-92.91322080767027,133.5135605633254,-40.600339755655085,neg
-80.40273941039734,174.3569014194922,-93.95416200909476,neg
-60.999855531252635,122.16617416922662,-61.16631863797398,neg
-87.02377222613147,176.55238683108513,-89.5286146049536,neg
-86.42409976602866,190.11864879680718,-103.6945490307786,neg
-53.55680155788739,106.65173084589411,-53.09492928800675,neg
-63.13838282161108,150.31539439638473,-87.17701157477367,neg
-44.59420547669222,89.29157002569457,-44.69736454900239,neg
-86.02283897426491,182.57606323316935,-96.5532242589044,neg
-29.848853465384842,60.47433092258339,-30.625477457198567,neg
-74.61485879963699,182.81831560727105,-108.20345680763414,neg
-88.36384161672194,175.0799824541698,-86.71614083744781,neg
-59.09403753168042,158.84818196348232,-99.75414443180189,neg
-65.2606422077711,158.5775879149715,-93.31694570720038,neg
-107.50389265109762,206.39775703688778,-98.89386438579012,neg
-85.32982681323824,138.04937287160232,-52.719546058364,neg
-77.97438467066597,167.48412063381878,-89.509735963153,neg
-11.929439499603443,140.00759953495887,-128.07816003535552,neg
-90.56824210908923,183.35557868302496,-92.78733657393582,neg
-52.97801263527993,105.06827300423414,-52.09026036895421,neg
-83.96214453227046,146.10594583680805,-62.14380130453765,neg
-98.90874350638562,200.15202345709596,-101.2432799507104,neg
-90.83423118981833,207.7985284209122,-116.96429723109401,neg
-58.056327999111666,168.94933241809116,-110.89300441897959,neg
-75.13700388196041,178.17511380495768,-103.03810992299739,neg
-73.82839629815194,163.03124631801543,-89.20285001986342,neg
-93.12372850462405,187.3570638199944,-94.2333353153704,neg
-85.00553483375965,184.3275470638477,-99.32201223008794,neg
-86.94327377231501,166.00985834357562,-79.06658457126062,neg
-80.18001366908892,137.21611455823177,-57.03610088914281,neg
-76.6092438978906,162.88185216552387,-86.27260826763326,neg
-110.47264209047769,208.2834695568365,-97.81082746635883,neg
-80.84436474523908,159.90876487376192,-79.0644001285229,neg
-89.46813717052663,137.69195754427383,-48.223820373747174,neg
-74.59005041036622,191.38927138658957,-116.79922097622334,neg
-91.89740773934615,182.51166397200967,-90.61425623266358,neg
-70.2386977976316,163.0781160443903,-92.83941824675868,neg
-66.72364878027416,153.03590391598493,-86.31225513571081,neg
-63.94645910846291,200.96564078743202,-137.01918167896906,neg
-52.894649781221496,106.85482114822221,-53.9601713670007,neg
-63.129319170099215,174.47864106033643,-111.34932189023725,neg
-72.26268767659047,174.2700099233901,-102.00732224679959,neg
-87.32810408127601,170.55075315651777,-83.22264907524183,neg
-74.78966579428315,165.69135830704877,-90.90169251276555,neg
-50.53245860150603,167.45661985487953,-116.92416125337353,neg
-88.32800507579387,185.58841237659408,-97.26040730080025,neg
-37.949984457777305,154.78280587510017,-116.83282141732278,neg
-23.96629089981679,142.9061232049179,-118.93983230510108,neg
-78.2011050583459,169.9696141321853,-91.7685090738394,neg
-59.57824069650361,179.26461009691533,-119.68636940041176,neg
-48.75132361884197,155.52789806925327,-106.77657445041113,neg
-26.639197966607384,52.99054644635367,-26.351348479746292,neg
-84.10387019499842,183.31815635441973,-99.21428615942125,neg
-84.62490618838126,177.46293573095082,-92.83802954256957,neg
-66.63843900478108,136.28454142290386,-69.64610241812278,neg
-95.04378517824557,194.0942282117585,-99.05044303351302,neg
-58.12735400599393,118.09877899219411,-59.97142498620021,neg
-88.53117530234395,192.36780771477493,-103.8366324124311,neg
-80.97175054430615,176.30671953055318,-95.33496898624698,neg
-23.171108231916822,46.381648598513095,-23.210540366596277,neg
-95.13245584815452,186.41407659313586,-91.28162074498132,neg
-50.00117492291634,161.44852249003893,-111.44734756712265,neg
-70.0081664181023,140.4261217712613,-70.41795535315902,neg
-79.8066249936194,141.51484962075108,-61.70822462713171,neg
-36.01569550438663,71.44767259841423,-35.43197709402758,neg
-64.06651666441448,150.41362289936703,-86.34710623495249,neg
-56.21430256945486,163.24534250401032,-107.0310399345554,neg
-88.82921201846108,197.34556876303085,-108.51635674456969,neg
-26.69052093664385,53.08553942155727,-26.395018484913425,neg
-91.61022658414741,187.84336239518797,-96.23313581104044,neg
-84.73374509561386,124.81904029892603,-40.08529520331217,neg
-82.76477012158934,177.52506183509837,-94.76029171350898,neg
-88.16042398401852,148.93031120643784,-60.769887222419314,neg
-89.21408280431825,136.10840904511912,-46.89432624080089,neg
-74.84126888441924,169.40249991417366,-94.5612310297543,neg
-75.6028810944859,174.73788417293517,-99.13500307844927,neg
-88.42177181007344,136.19290092176885,-47.771129111695444,neg
-60.01713907013237,120.78760312227548,-60.77046405214313,neg
-37.190206371213165,74.60120523059209,-37.410998859378964,neg
-82.45368502220391,176.46195421047855,-94.00826918827472,neg
-93.5784325974369,186.28516537904738,-92.70673278161036,neg
-78.11172858398105,181.6528311750936,-103.54110259111253,neg
-96.12038127113838,189.8712162194175,-93.7508349482791,neg
-63.45924516213627,172.23437392353412,-108.77512876139797,neg
-89.15246287634538,181.6707021960939,-92.51823931974845,neg
-90.31464746293497,134.3947939827973,-44.080146519862254,neg
-95.64906116257943,196.31484498578345,-100.66578382320384,neg
-75.55709911919953,168.93741479774317,-93.3803156785438,neg
-61.61759753599926,163.2524138379507,-101.63481630195143,neg
-98.42280155592016,197.78756864206662,-99.36476708614629,neg
-58.308329627300715,165.19341442897561,-106.88508480167496,neg
-59.97097723562583,121.4969339861529,-61.52595675052705,neg
-37.21557226547763,74.26404422810658,-37.04847196262897,neg
-74.85284632451763,203.20740938079004,-128.35456305627247,neg
-76.87608734036984,172.6775082310155,-95.80142089064573,neg
-63.087818345103194,165.51918218014998,-102.43136383504684,neg
-38.56594693100545,148.40138068651433,-109.83543375550894,neg
-76.07245790952832,184.5914860666096,-108.51902815708121,neg
-52.31772761420918,160.09426496622086,-107.77653735201174,neg
-65.52749287415207,151.72225586284233,-86.19476298869023,neg
-77.88048651939664,148.23235733019538,-70.35187081079876,neg
-64.59357781782346,165.51971929259682,-100.92614147477339,neg
-62.94920655948199,127.13147702373347,-64.18227046425153,neg
-38.288679241674494,77.68412870236637,-39.3954494606919,neg
-12.917223953504521,140.59239272730568,-127.6751687738011,neg
-74.87525541948894,169.99489300369459,-95.11963758420566,neg
-71.94841806375676,124.54907696789628,-52.60065890413952,neg
-108.30100931611864,211.6322492092618,-103.33123989314306,neg
-79.52206755649823,170.19869326907718,-90.67662571257894,neg
-62.51832963045376,148.77680535424165,-86.25847572378785,neg
-71.58771118700606,144.68059490059966,-73.0928837135936,neg
-94.30647162395336,187.53630245518596,-93.2298308312327,neg
-89.72870814024684,190.89364733995978,-101.16493919971285,neg
-102.07660460523327,214.4578344270359,-112.38122982180238,neg
-85.32808098908707,144.53820700039967,-59.210126011312624,neg
-44.697090879778266,89.1492248147447,-44.45213393496642,neg
-58.12993844741151,173.08669744756583,-114.95675900015421,neg
-78.53030550473535,187.88345725959763,-109.35315175486231,neg
-46.32790590163658,156.78071504055853,-110.45280913892195,neg
-65.81262750259717,152.283163271482,-86.47053576888486,neg
-78.51351690882083,174.37844070495314,-95.86492379613203,neg
-62.94272387969766,128.78873899716908,-65.84601511747138,neg
-94.51292609160697,190.4265060533321,-95.91357996172515,neg
-92.51044043956308,131.4378573518171,-38.92741691225388,neg
-91.99609538507839,187.20685502655164,-95.21075964147315,neg
-94.60909810776694,204.9561879640923,-110.34708985632517,neg
-87.78958836052763,169.70975216053594,-81.92016380000827,neg
-95.94705667937059,191.39785564943608,-95.45079897006543,neg
-86.35758498773653,181.56688610485566,-95.20930111711908,neg
-62.95772473753459,188.77560675701474,-125.81788201948008,neg
-67.96453175378839,180.89026856322283,-112.92573680943444,neg
-84.6637290188302,148.9703899451396,-64.30666092630943,neg
-66.169972268469,148.2785109756674,-82.10853870719838,neg
